[0, 0, 'Linear SVC', 0.9112751821688813, array([0.98869048, 0.70039387]), array([0.89989186, 0.95786739]), array([0.94220358, 0.80914204]), array([749969, 183231]), array([[674891,  75078],       [  7720, 175511]]), 411.7389039993286, 0.08142900466918945]
[0, 1, 'AdaBoost', 0.9874389198456922, array([0.99809196, 0.94634743]), array([0.98625543, 0.99228297]), array([0.99213839, 0.96877098]), array([749969, 183231]), array([[739661,  10308],       [  1414, 181817]]), 2170.4828226566315, 8.368554830551147]
[0, 2, 'Decision Tree', 0.9261605229318474, array([0.99688327, 0.73061654]), array([0.91096832, 0.98834258]), array([0.95199132, 0.84015894]), array([749969, 183231]), array([[683198,  66771],       [  2136, 181095]]), 44.56497287750244, 0.12401485443115234]
[0, 3, 'Random Forest', 0.9386980282897557, array([0.99075811, 0.77710737]), array([0.93241854, 0.96440013]), array([0.96070346, 0.86068243]), array([749969, 183231]), array([[699285,  50684],       [  6523, 176708]]), 1458.4946258068085, 4.42433762550354]
[0, 4, 'Bernoulli NB', 0.6659858551221604, array([0.92872445, 0.34780878]), array([0.63295683, 0.80117447]), array([0.75283285, 0.48504713]), array([749969, 183231]), array([[474698, 275271],       [ 36431, 146800]]), 2.096623659133911, 0.5233948230743408]
[0, 5, 'Gaussian NB', 0.4732972567509644, array([0.98925513, 0.26961592]), array([0.3483984 , 0.98451135]), array([0.51531267, 0.42330621]), array([749969, 183231]), array([[261288, 488681],       [  2838, 180393]]), 2.496795654296875, 0.7585709095001221]
[1, 0, 'Linear SVC', 0.9122813973424775, array([0.98860047, 0.70373259]), array([0.90116869, 0.95761194]), array([0.94286203, 0.81127391]), array([749469, 183731]), array([[675398,  74071],       [  7788, 175943]]), 548.8340351581573, 0.07720232009887695]
[1, 1, 'AdaBoost', 0.9875160737248179, array([0.99769037, 0.94822799]), array([0.98673995, 0.99068203]), array([0.99218494, 0.96899023]), array([749469, 183731]), array([[739531,   9938],       [  1712, 182019]]), 2021.4549748897552, 8.379628419876099]
[1, 2, 'Decision Tree', 0.9260490784397771, array([0.99692987, 0.73078966]), array([0.91072479, 0.98855936]), array([0.95187957, 0.84035173]), array([749469, 183731]), array([[682560,  66909],       [  2102, 181629]]), 38.674792528152466, 0.12355828285217285]
[1, 3, 'Random Forest', 0.9289723531933133, array([0.99235508, 0.74529043]), array([0.91863706, 0.97113171]), array([0.95407421, 0.84335333]), array([749469, 183731]), array([[688490,  60979],       [  5304, 178427]]), 1260.5495026111603, 4.42354154586792]
[1, 4, 'Bernoulli NB', 0.665899057008144, array([0.92858794, 0.34849001]), array([0.63264791, 0.80153594]), array([0.75256947, 0.48577559]), array([749469, 183731]), array([[474150, 275319],       [ 36464, 147267]]), 2.1381096839904785, 0.5739712715148926]
